Linux 6.8.0-87-generic (shreyash-ASUS-TUF-Gaming-F15-FX506HM-FX506HM) 	11/24/2025 	_x86_64_	(16 CPU)

07:24:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:13 AM  all    3.82    0.00    2.36    3.44    0.00    0.51    0.00    0.00    0.00   89.87
07:24:13 AM    0    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81
07:24:13 AM    1    2.06    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   95.88
07:24:13 AM    2   21.65    0.00   11.34   55.67    0.00    2.06    0.00    0.00    0.00    9.28
07:24:13 AM    3    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:13 AM    4    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:13 AM    5    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:13 AM    6    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
07:24:13 AM    7    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:13 AM    8    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
07:24:13 AM    9    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:13 AM   10    7.14    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   90.82
07:24:13 AM   11    4.04    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   92.93
07:24:13 AM   12    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
07:24:13 AM   13    1.03    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   96.91
07:24:13 AM   14    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:13 AM   15    2.04    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   95.92

07:24:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:14 AM  all    3.54    0.00    2.40    4.04    0.00    0.63    0.00    0.00    0.00   89.39
07:24:14 AM    0    2.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   94.00
07:24:14 AM    1    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:14 AM    2   21.65    0.00   10.31   65.98    0.00    2.06    0.00    0.00    0.00    0.00
07:24:14 AM    3    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:14 AM    4    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:14 AM    5    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:14 AM    6    2.97    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   94.06
07:24:14 AM    7    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
07:24:14 AM    8    3.06    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   94.90
07:24:14 AM    9    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:14 AM   10    2.97    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   93.07
07:24:14 AM   11    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
07:24:14 AM   12    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:14 AM   13    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:14 AM   14    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
07:24:14 AM   15    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96

07:24:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:15 AM  all    3.47    0.00    2.27    4.48    0.00    0.50    0.00    0.00    0.00   89.27
07:24:15 AM    0    3.03    0.00    3.03    6.06    0.00    1.01    0.00    0.00    0.00   86.87
07:24:15 AM    1    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:15 AM    2   20.41    0.00   11.22   66.33    0.00    2.04    0.00    0.00    0.00    0.00
07:24:15 AM    3    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:15 AM    4    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:24:15 AM    5    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
07:24:15 AM    6    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:24:15 AM    7    2.97    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   95.05
07:24:15 AM    8    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:15 AM    9    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:15 AM   10    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:15 AM   11    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
07:24:15 AM   12    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:15 AM   13    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:15 AM   14    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:15 AM   15    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

07:24:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:16 AM  all    3.77    0.00    2.58    4.03    0.00    0.63    0.00    0.00    0.00   88.99
07:24:16 AM    0    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:16 AM    1    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:16 AM    2   20.41    0.00   11.22   65.31    0.00    3.06    0.00    0.00    0.00    0.00
07:24:16 AM    3    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:16 AM    4    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:16 AM    5    2.97    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   94.06
07:24:16 AM    6    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:16 AM    7    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:16 AM    8    3.92    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00   92.16
07:24:16 AM    9    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:16 AM   10    1.01    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   93.94
07:24:16 AM   11    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
07:24:16 AM   12    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:16 AM   13    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:16 AM   14    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:16 AM   15    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95

07:24:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:17 AM  all    3.70    0.00    2.63    4.02    0.00    0.82    0.00    0.00    0.00   88.83
07:24:17 AM    0    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:17 AM    1    2.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:17 AM    2   22.45    0.00   10.20   65.31    0.00    2.04    0.00    0.00    0.00    0.00
07:24:17 AM    3    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:17 AM    4    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:17 AM    5    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:17 AM    6    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:17 AM    7    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:17 AM    8    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
07:24:17 AM    9    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:17 AM   10    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:24:17 AM   11    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:17 AM   12    2.97    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   94.06
07:24:17 AM   13    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:17 AM   14    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:17 AM   15    2.97    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   94.06

07:24:17 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:18 AM  all    3.60    0.00    2.27    4.11    0.00    0.25    0.00    0.00    0.00   89.77
07:24:18 AM    0    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:18 AM    1    2.97    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   94.06
07:24:18 AM    2   19.59    0.00   11.34   67.01    0.00    2.06    0.00    0.00    0.00    0.00
07:24:18 AM    3    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:18 AM    4    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
